Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
United Arab Emirates,2022-12-14 04:21:04,23.424076,53.847818,1045708,2348,,,10572.959637628408,,,0.2245368688008507,784,ARE,4389,0
United Kingdom,2022-12-14 04:21:04,55.0,-3.0,24281515,213508,,,35768.07231134123,,,0.8793026300047587,826,GBR,101539,478
Uruguay,2022-12-14 04:21:04,-32.5228,-55.7658,998047,7548,,,28731.30214320239,,,0.7562770089985742,858,URY,6012,19
Uzbekistan,2022-12-14 04:21:04,41.377491,64.585262,248268,1637,,,741.7805248341916,,,0.6593681022121256,860,UZB,3163,0
Vanuatu,2022-12-14 04:21:04,-15.3767,166.9592,11981,14,,,4093.5492688260215,,,0.1168516818295634,548,VUT,0,0
Venezuela,2022-12-14 04:21:04,6.4238,-66.5897,548570,5830,,,1929.1429863957735,,,1.0627631842791256,862,VEN,1994,6
Vietnam,2022-12-14 04:21:04,14.058324,108.277199,11521388,43179,,,11836.404070110617,,,0.3747725534458174,704,VNM,20746,12
West Bank and Gaza,2022-12-14 04:21:04,31.9522,35.2332,703228,5708,,,13784.956960969268,,,0.8116855415313383,275,PSE,192,0
Winter Olympics 2022,2022-12-14 04:21:04,39.9042,116.4074,535,0,,,,,,0.0,2022,,0,0
Yemen,2022-12-14 04:21:04,15.552727,48.516388,11945,2159,,,40.04899354817252,,,18.07450816241105,887,YEM,0,0
Zambia,2022-12-14 04:21:04,-13.133897,27.849332,333746,4019,,,1815.41992376396,,,1.2042091890239883,894,ZMB,61,2
Zimbabwe,2022-12-14 04:21:04,-19.015438,29.154857,259356,5622,,,1744.986031351698,,,2.167676861148383,716,ZWE,1463,16
