Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Orebro,Sweden,2022-12-20 06:31:32,59.535,15.0066,101556,549,,,,33318.35107691803,,,0.5405884438142503,75211,SWE,,,1844,14
Ostergotland,Sweden,2022-12-20 06:31:32,58.3454,15.5198,100398,912,,,,21568.008249283022,,,0.90838462917588,75212,SWE,,,1233,9
Skane,Sweden,2022-12-20 06:31:32,55.9903,13.5958,351076,2663,,,,25480.41227236801,,,0.7585252196105686,75213,SWE,,,3322,47
Sormland,Sweden,2022-12-20 06:31:32,59.0336,16.7519,69917,694,,,,23498.353162599986,,,0.9926055179713088,75214,SWE,,,1577,22
Stockholm,Sweden,2022-12-20 06:31:32,59.6025,18.1384,612970,5781,,,,25786.668607422296,,,0.9431130397898756,75215,SWE,,,4395,98
Uppsala,Sweden,2022-12-20 06:31:32,60.0092,17.2715,95824,747,,,,24972.83125669445,,,0.7795541826682251,75216,SWE,,,1549,20
Varmland,Sweden,2022-12-20 06:31:32,59.7294,13.2354,70968,430,,,,25129.065839512205,,,0.6059068876113177,75217,SWE,,,1331,11
Vasterbotten,Sweden,2022-12-20 06:31:32,65.3337,16.5162,61652,418,,,,22688.19736803368,,,0.677999091675858,75218,SWE,,,934,21
Vasternorrland,Sweden,2022-12-20 06:31:32,63.4276,17.7292,57616,713,,,,23483.47442601703,,,1.237503471257984,75219,SWE,,,871,24
Vastmanland,Sweden,2022-12-20 06:31:32,59.6714,16.2159,79761,548,,,,28915.1516250068,,,0.6870525695515353,75220,SWE,,,914,9
Vastra Gotaland,Sweden,2022-12-20 06:31:32,58.2528,13.0596,449311,3426,,,,26033.718431340283,,,0.762500806790842,75221,SWE,,,3788,48
Alabama,US,2022-12-20 06:31:32,32.3182,-86.9023,1561557,20704,,,1,31847.809128148336,,,1.3258561807221894,84000001,USA,,,19330,87
Alaska,US,2022-12-20 06:31:32,61.3707,-152.4044,300719,1436,,,2,41107.382320978206,,,0.4775222051150742,84000002,USA,,,1678,0
American Samoa,US,2022-12-20 06:31:32,-14.271,-170.132,8265,34,,,60,14854.154310670188,,,0.411373260738052,16,ASM,,,3,0
Arizona,US,2022-12-20 06:31:32,33.7298,-111.4312,2365080,31929,,,4,32493.08909798252,,,1.3500177583844943,84000004,USA,,,53930,282
Arkansas,US,2022-12-20 06:31:32,34.9697,-92.3731,978501,12663,,,5,32424.27274932368,,,1.2941223361038976,84000005,USA,,,12867,128
California,US,2022-12-20 06:31:32,36.1162,-119.6816,11697847,98110,,,6,29605.64127206915,,,0.838701343931067,84000006,USA,,,239354,800
Colorado,US,2022-12-20 06:31:32,39.0598,-105.3111,1726188,13785,,,8,29975.119540121304,,,0.7985804558947229,84000008,USA,,,28338,256
Connecticut,US,2022-12-20 06:31:32,41.5978,-72.7554,939281,11665,,,9,26345.172211942543,,,1.241907373831686,84000009,USA,,,17542,106
Delaware,US,2022-12-20 06:31:32,39.3185,-75.5071,319477,3185,,,10,32808.462830829645,,,0.9969418768800258,84000010,USA,,,3614,22
Diamond Princess,US,2022-12-20 06:31:32,,,49,0,,,88888,,,,0.0,84088888,USA,,,0,0
District of Columbia,US,2022-12-20 06:31:32,38.8974,-77.0268,172626,1407,,,11,24459.970896168463,,,0.8150568280560286,84000011,USA,,,1876,4
Florida,US,2022-12-20 06:31:32,27.7663,-81.6868,7312963,83606,,,12,34049.038779085524,,,1.1432575277626866,84000012,USA,,,73485,731
Georgia,US,2022-12-20 06:31:32,33.0406,-83.6431,2963232,41244,,,13,27909.145185229976,,,1.3918586192373732,84000013,USA,,,30003,329
Grand Princess,US,2022-12-20 06:31:32,,,103,3,,,99999,,,,2.912621359223301,84099999,USA,,,0,0
Guam,US,2022-12-20 06:31:32,13.4443,144.7937,59735,411,,,66,36372.991371804,,,0.6880388382020591,316,GUM,,,520,4
Hawaii,US,2022-12-20 06:31:32,21.0943,-157.4983,369914,1748,,,15,26126.23174976269,,,0.4725422665808809,84000015,USA,,,4743,26
Idaho,US,2022-12-20 06:31:32,44.2405,-114.4788,509199,5287,,,16,28493.591447429164,,,1.0382974043546829,84000016,USA,,,5853,41
Illinois,US,2022-12-20 06:31:32,40.3495,-88.9861,3939214,40525,,,17,31086.408180797374,,,1.0287585289857315,84000017,USA,,,83162,306
Indiana,US,2022-12-20 06:31:32,39.8494,-86.2583,1987017,25303,,,18,29515.03805803109,,,1.2734163824466525,84000018,USA,,,33520,224
Iowa,US,2022-12-20 06:31:32,42.0115,-93.2105,880770,10343,,,19,27916.020880677766,,,1.1743133848791398,84000019,USA,,,12175,90
Kansas,US,2022-12-20 06:31:32,38.5266,-96.7265,910501,9702,,,20,31253.102137291076,,,1.0655671987180684,84000020,USA,,,14659,50
Kentucky,US,2022-12-20 06:31:32,37.6681,-84.6701,1653425,17625,,,21,37008.63962067054,,,1.0659691246957077,84000021,USA,,,22281,166
Louisiana,US,2022-12-20 06:31:32,31.1695,-91.8678,1482269,18324,,,22,31885.02222296793,,,1.2362128601488664,84000022,USA,,,14696,90
Maine,US,2022-12-20 06:31:32,44.6939,-69.3819,304491,2777,,,23,22652.007272662348,,,0.9120138197844928,84000023,USA,,,4136,59
Maryland,US,2022-12-20 06:31:32,39.0639,-76.8021,1305200,15851,,,24,21588.9693136256,,,1.2144498927367453,84000024,USA,,,23092,184
Massachusetts,US,2022-12-20 06:31:32,42.2302,-71.5301,2134100,22683,,,25,30962.62707466359,,,1.0628836511878543,84000025,USA,,,29647,380
Michigan,US,2022-12-20 06:31:32,43.3266,-84.5361,2963404,40508,,,26,29673.03927551981,,,1.3669415307531474,84000026,USA,,,42725,811
Minnesota,US,2022-12-20 06:31:32,45.6945,-93.9002,1725293,14220,,,27,30592.297511610686,,,0.8242078302062317,84000027,USA,,,23892,238
Mississippi,US,2022-12-20 06:31:32,32.7416,-89.6787,946657,13063,,,28,31808.118477939108,,,1.3799084568117068,84000028,USA,,,9843,46
Missouri,US,2022-12-20 06:31:32,38.4561,-92.2884,1717983,22158,,,29,27991.904752283852,,,1.2897682922357203,84000029,USA,,,27664,199
Montana,US,2022-12-20 06:31:32,46.9219,-110.4544,321244,3614,,,30,30057.130666986035,,,1.1250015564493034,84000030,USA,,,4109,27
Nebraska,US,2022-12-20 06:31:32,41.1254,-98.2681,549490,4675,,,31,28406.1066744968,,,0.850788913356021,84000031,USA,,,10365,53
Nevada,US,2022-12-20 06:31:32,38.3135,-117.0554,871644,11677,,,32,28298.696559524906,,,1.3396524269082333,84000032,USA,,,12107,77
New Hampshire,US,2022-12-20 06:31:32,43.4525,-71.5639,365094,2843,,,33,26850.852865057357,,,0.7787035667526719,84000033,USA,,,4858,42
New Jersey,US,2022-12-20 06:31:32,40.2989,-74.521,2893870,35361,,,34,32580.59104792849,,,1.2219277299947822,84000034,USA,,,61478,311
New Mexico,US,2022-12-20 06:31:32,34.8405,-106.2485,655719,8769,,,35,31271.934907424496,,,1.3373106467861997,84000035,USA,,,14460,71
New York,US,2022-12-20 06:31:32,42.1657,-74.9481,6504806,74582,,,36,33437.61072844196,,,1.1465676301491543,84000036,USA,,,162849,930
North Carolina,US,2022-12-20 06:31:32,35.6301,-79.8064,3300138,27580,,,37,31465.594669150247,,,0.8357226273567954,84000037,USA,,,37803,275
North Dakota,US,2022-12-20 06:31:32,47.5289,-99.784,279330,2414,,,38,36654.49792799011,,,0.8642107901048939,84000038,USA,,,3536,182
Northern Mariana Islands,US,2022-12-20 06:31:32,15.0979,145.6739,13245,41,,,69,24018.932250108806,,,0.3095507738769347,580,MNP,,,26,0
Ohio,US,2022-12-20 06:31:32,40.3888,-82.7649,3276630,40747,,,39,28031.49943109393,,,1.2435642718280673,84000039,USA,,,58295,98
Oklahoma,US,2022-12-20 06:31:32,35.5653,-96.9289,1237781,17349,,,40,31281.022782325166,,,1.4016211268390772,84000040,USA,,,19956,148
Oregon,US,2022-12-20 06:31:32,44.572,-122.0709,933108,8935,,,41,22123.427800263507,,,0.9575526091299184,84000041,USA,,,15944,148
Pennsylvania,US,2022-12-20 06:31:32,40.5908,-77.2098,3389458,48662,,,42,26476.02649869485,,,1.4356867676188936,84000042,USA,,,48952,536
Puerto Rico,US,2022-12-20 06:31:32,18.2208,-66.5901,1039340,5473,,,72,32543.506046603088,,,0.526584178420921,630,PRI,,,36825,151
Rhode Island,US,2022-12-20 06:31:32,41.6809,-71.5118,441692,3777,,,44,41694.19112087381,,,0.855120762884544,84000044,USA,,,5914,46
South Carolina,US,2022-12-20 06:31:32,33.8569,-80.945,1751646,18783,,,45,34021.039040039905,,,1.0723057056048997,84000045,USA,,,19359,104
South Dakota,US,2022-12-20 06:31:32,44.2998,-99.4388,270809,3115,,,46,30611.6820153302,,,1.1502571923385116,84000046,USA,,,3966,27
Tennessee,US,2022-12-20 06:31:32,35.7478,-86.6923,2408631,28465,,,47,35269.726617011074,,,1.181791648450925,84000047,USA,,,23197,167
Texas,US,2022-12-20 06:31:32,31.0545,-97.5635,8165999,91603,,,48,28162.617304161235,,,1.1217610974480894,84000048,USA,,,86869,242
Utah,US,2022-12-20 06:31:32,40.15,-111.8624,1069703,5161,,,49,33366.09525140379,,,0.4824703679432515,84000049,USA,,,15653,72
Vermont,US,2022-12-20 06:31:32,44.0459,-72.7107,147657,781,,,50,23663.3979124632,,,0.5289285303101106,84000050,USA,,,1514,18
Virgin Islands,US,2022-12-20 06:31:32,18.3358,-64.8963,23692,127,,,78,22086.73602565537,,,0.5360459226743205,850,VIR,,,209,3
Virginia,US,2022-12-20 06:31:32,37.7693,-78.17,2180387,22602,,,51,25544.867277549263,,,1.036604969668229,84000051,USA,,,40628,298
Washington,US,2022-12-20 06:31:32,47.4009,-121.4905,1872837,14898,,,53,24594.3967958578,,,0.7954776630320738,84000053,USA,,,24106,189
